Dataset,Model,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,RW,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,DIR,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,AD,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,PR,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,EO,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,CEO,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,ROC,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
german,1,0.673,0.802,0.005,0.004,0.007,0.007,0.096,-0.012,0.062,,0.675,0.804,0.006,0.006,0.007,0.007,0.031,-0.012,0.062,,0.673,0.802,0.005,0.004,0.007,0.007,0.096,-0.012,0.062,,0.667,0.8,0.0,0.0,0.0,0.0,0.102,0.0,0.059,,0.597,0.812,-0.075,-0.06,-0.022,-0.036,0.105,-0.271,0.124,,0.34,0.02,0.738,0.005,0.01,0.005,-0.107,-0.011,1.079,,0.327,0.01,-0.36,-0.004,-0.007,-0.007,-0.096,-0.012,1.099,,0.667,0.8,0.0,0.0,0.0,0.0,0.102,0.0,0.059
,2,0.747,0.826,-0.109,-0.082,-0.026,-0.038,0.054,-0.317,0.137,,0.745,0.825,-0.083,-0.062,-0.026,-0.038,0.033,-0.317,0.137,,0.74,0.823,-0.109,-0.083,-0.059,-0.033,0.095,-0.291,0.135,,0.687,0.814,0.0,0.0,0.0,0.0,0.139,0.0,0.058,,0.57,0.803,-0.325,-0.22,-0.132,-0.198,0.197,-0.39,0.171,,0.313,0.01,0.978,0.008,-0.006,0.012,-0.123,-0.012,1.154,,0.26,0.184,0.352,0.083,0.059,0.033,-0.095,-0.291,0.984,,0.687,0.814,0.0,0.0,0.0,0.0,0.139,0.0,0.058
,3,0.72,0.81,-0.128,-0.096,-0.11,-0.068,0.087,-0.168,0.161,,0.717,0.807,-0.102,-0.076,-0.11,-0.068,0.055,-0.168,0.161,,0.723,0.812,-0.188,-0.138,-0.133,-0.121,0.076,-0.184,0.16,,0.74,0.834,-0.029,-0.025,-0.015,-0.014,0.037,-0.132,0.103,,0.563,0.79,-0.177,-0.123,-0.135,-0.097,0.13,-0.226,0.198,,0.303,0.019,0.831,0.006,0.01,0.005,-0.054,-0.009,1.193,,0.277,0.228,0.544,0.138,0.133,0.121,-0.076,-0.184,0.966,,0.297,0.81,-0.128,0.0,0.0,0.0,-0.047,0.0,1.215
,4,0.7,0.787,-0.163,-0.116,-0.045,-0.099,0.016,-0.356,0.174,,0.697,0.785,-0.135,-0.097,-0.045,-0.099,-0.004,-0.356,0.174,,0.713,0.794,-0.185,-0.129,-0.045,-0.11,0.003,-0.376,0.172,,0.67,0.802,0.0,0.0,0.0,0.0,0.116,0.0,0.059,,0.563,0.786,-0.144,-0.106,-0.04,-0.094,0.122,-0.292,0.164,,0.33,0.01,0.847,0.006,0.019,0.001,-0.132,-0.009,1.102,,0.303,0.187,0.336,0.067,0.017,0.053,-0.043,-0.253,0.947,,0.67,0.802,0.0,0.0,0.0,0.0,0.116,0.0,0.059
,5,0.73,0.819,-0.036,-0.029,-0.016,-0.025,0.012,-0.269,0.12,,0.743,0.829,-0.052,-0.043,-0.045,-0.078,-0.041,-0.277,0.105,,0.733,0.818,-0.131,-0.101,-0.063,-0.109,0.002,-0.317,0.129,,0.677,0.807,0.0,0.0,0.0,0.0,0.025,0.0,0.059,,0.58,0.802,-0.074,-0.056,-0.02,-0.065,0.034,-0.309,0.152,,0.33,0.02,0.738,0.005,0.008,0.004,-0.03,-0.008,1.109,,0.267,0.173,0.451,0.101,0.063,0.109,-0.002,-0.317,0.975,,0.677,0.807,0.0,0.0,0.0,0.0,0.025,0.0,0.059
,6,0.783,0.856,-0.131,-0.101,0.046,-0.107,-0.061,-0.214,0.115,,0.782,0.856,-0.096,-0.075,0.046,-0.107,-0.08,-0.214,0.115,,0.793,0.863,-0.129,-0.101,0.026,-0.093,-0.031,-0.206,0.104,,0.767,0.849,-0.015,-0.013,0.042,0.017,0.036,-0.15,0.105,,0.617,0.833,-0.068,-0.051,0.006,-0.017,0.104,-0.227,0.145,,0.293,0.019,0.738,0.005,0.01,0.005,-0.13,-0.008,1.226,,0.207,0.131,0.47,0.101,-0.026,0.093,0.031,-0.206,1.119,,0.287,0.856,-0.131,0.0,0.0,0.0,-0.125,0.0,1.249
,7,0.763,0.847,-0.1,-0.08,-0.016,-0.059,0.039,-0.242,0.122,,0.762,0.846,-0.078,-0.062,-0.016,-0.059,0.015,-0.242,0.122,,0.757,0.839,-0.022,-0.017,0.045,0.01,0.013,-0.294,0.142,,0.727,0.842,0.0,0.0,0.0,0.0,0.122,0.0,0.056,,0.663,0.858,-0.148,-0.118,-0.059,-0.087,0.151,-0.252,0.109,,0.28,0.018,0.961,0.007,0.013,0.006,-0.129,-0.011,1.273,,0.243,0.198,0.077,0.017,-0.045,-0.01,-0.013,-0.294,1.062,,0.273,0.847,-0.1,0.0,0.0,0.0,-0.122,0.0,1.297
,8,0.717,0.827,-0.046,-0.042,0.023,-0.056,0.063,-0.039,0.092,,0.717,0.828,-0.039,-0.036,0.023,-0.056,0.03,-0.039,0.092,,0.707,0.814,-0.067,-0.057,-0.001,-0.057,0.064,-0.069,0.129,,0.713,0.833,0.0,0.0,0.0,0.0,0.15,0.0,0.057,,0.6,0.811,-0.078,-0.059,-0.019,-0.021,0.139,-0.313,0.167,,0.287,0.009,0.769,0.006,-0.006,0.01,-0.135,-0.011,1.242,,0.327,0.279,0.076,0.017,-0.013,0.002,-0.061,-0.12,0.926,,0.287,0.827,-0.046,0.0,0.0,0.0,-0.15,0.0,1.249
adult,1,0.843,0.657,-0.614,-0.101,-0.094,-0.066,-0.049,-0.046,0.128,,0.636,0.409,-0.091,-0.022,-0.007,-0.019,-0.021,-0.086,0.181,,0.402,0.229,0.07,0.038,0.036,0.023,-0.005,-0.189,0.235,,0.702,0.604,-0.378,-0.164,-0.043,-0.084,-0.068,-0.025,0.082,,0.428,0.259,-0.08,-0.037,0.017,-0.026,-0.065,-0.19,0.223,,0.747,0.001,1.799,0.0,0.002,0.001,-0.102,-0.0,0.291,,0.402,0.229,0.07,0.037,0.036,0.023,-0.006,-0.19,0.235,,0.265,0.402,0.027,0.026,0.02,0.025,0.116,-0.022,0.041
,2,0.846,0.656,-0.658,-0.107,-0.066,-0.059,-0.064,-0.237,0.121,,0.845,0.655,-0.314,-0.058,-0.086,-0.069,-0.017,-0.238,0.12,,0.843,0.651,-0.641,-0.106,-0.061,-0.057,-0.065,-0.235,0.122,,0.79,0.322,-0.402,-0.024,0.006,-0.001,-0.085,-0.006,0.221,,0.796,0.382,-0.885,-0.057,-0.065,-0.047,-0.083,-0.018,0.208,,0.759,0.001,1.774,0.0,0.003,0.001,-0.101,-0.0,0.276,,0.829,0.596,-0.472,-0.072,0.039,-0.001,-0.081,-0.218,0.144,,0.775,0.643,-0.125,-0.047,0.081,0.04,-0.005,-0.399,0.088
,3,0.856,0.668,-0.484,-0.076,-0.043,-0.029,-0.043,-0.009,0.122,,0.856,0.666,-0.145,-0.026,-0.043,-0.029,-0.004,-0.009,0.122,,0.852,0.661,-0.496,-0.08,-0.038,-0.029,-0.048,-0.01,0.123,,0.813,0.493,-0.334,-0.037,-0.014,-0.007,-0.059,-0.01,0.18,,0.843,0.642,-0.567,-0.089,-0.074,-0.051,-0.049,-0.022,0.129,,0.808,0.586,0.459,0.119,-0.411,-0.065,0.264,-0.07,0.144,,0.845,0.629,-0.392,-0.059,0.017,0.002,-0.056,-0.034,0.136,,0.786,0.665,-0.093,-0.035,0.063,0.045,0.023,-0.021,0.08
,4,0.866,0.71,-0.596,-0.1,-0.062,-0.048,-0.047,-0.069,0.11,,0.865,0.707,-0.213,-0.041,-0.062,-0.048,-0.009,-0.069,0.11,,0.857,0.701,-0.679,-0.12,-0.112,-0.079,-0.047,-0.077,0.11,,0.821,0.564,-0.227,-0.033,0.071,0.034,-0.066,-0.033,0.164,,0.842,0.652,-0.662,-0.104,-0.092,-0.067,-0.055,-0.076,0.131,,0.747,0.71,1.824,0.0,0.0,0.0,-0.106,-0.0,0.292,,0.838,0.629,-0.459,-0.072,0.02,-0.005,-0.069,-0.112,0.141,,0.813,0.702,-0.124,-0.044,0.075,0.046,0.009,-0.095,0.076
,5,0.871,0.72,-0.737,-0.118,-0.116,-0.076,-0.044,-0.231,0.105,,0.87,0.715,-0.359,-0.065,-0.116,-0.076,-0.005,-0.231,0.105,,0.864,0.719,-0.871,-0.148,-0.187,-0.122,-0.043,-0.26,0.101,,0.772,0.185,-0.665,-0.015,-0.014,-0.008,-0.101,-0.005,0.256,,0.792,0.395,-0.924,-0.061,-0.084,-0.054,-0.086,-0.018,0.213,,0.75,0.001,1.823,0.0,0.003,0.002,-0.114,-0.0,0.288,,0.836,0.614,-0.557,-0.079,0.003,-0.015,-0.076,-0.221,0.145,,0.816,0.701,-0.135,-0.047,0.073,0.046,0.011,-0.39,0.077
,6,0.878,0.734,-0.573,-0.098,-0.068,-0.048,-0.038,-0.063,0.1,,0.877,0.731,-0.176,-0.035,-0.068,-0.048,-0.002,-0.063,0.1,,0.866,0.723,-0.682,-0.125,-0.116,-0.084,-0.044,-0.078,0.098,,0.846,0.644,-0.184,-0.031,0.09,0.048,-0.051,-0.048,0.133,,0.85,0.669,-0.604,-0.099,-0.082,-0.06,-0.049,-0.08,0.122,,0.751,0.001,1.81,0.0,0.003,0.001,-0.102,-0.0,0.286,,0.848,0.656,-0.468,-0.077,0.016,-0.008,-0.065,-0.11,0.128,,0.844,0.723,-0.161,-0.048,0.093,0.049,-0.015,-0.089,0.081
,7,0.855,0.681,-0.561,-0.096,-0.069,-0.051,-0.046,-0.239,0.114,,0.855,0.679,-0.25,-0.048,-0.081,-0.057,-0.008,-0.238,0.114,,0.85,0.678,-0.655,-0.114,-0.121,-0.082,-0.044,-0.247,0.113,,0.777,0.181,-0.676,-0.015,-0.011,-0.007,-0.094,-0.003,0.25,,0.794,0.391,-0.884,-0.06,-0.081,-0.054,-0.081,-0.017,0.208,,0.756,0.001,1.818,0.0,0.003,0.002,-0.104,-0.0,0.28,,0.83,0.598,-0.391,-0.061,0.033,0.005,-0.068,-0.223,0.145,,0.8,0.671,-0.143,-0.05,0.069,0.037,-0.002,-0.386,0.085
,8,0.848,0.671,-0.493,-0.087,-0.022,-0.023,-0.052,-0.063,0.121,,0.847,0.67,-0.183,-0.036,-0.022,-0.023,-0.021,-0.063,0.121,,0.844,0.667,-0.558,-0.099,-0.039,-0.037,-0.058,-0.076,0.122,,0.819,0.515,0.046,0.006,0.145,0.087,-0.068,-0.036,0.179,,0.843,0.658,-0.501,-0.087,-0.017,-0.022,-0.057,-0.079,0.126,,0.749,0.001,1.79,0.0,0.003,0.002,-0.118,-0.0,0.289,,0.842,0.659,-0.533,-0.093,-0.024,-0.028,-0.06,-0.081,0.125,,0.807,0.678,-0.146,-0.048,0.091,0.051,-0.005,-0.086,0.09
bank,1,0.904,0.579,0.627,0.087,0.03,0.04,0.07,-0.074,0.075,,0.903,0.578,0.327,0.039,0.03,0.04,0.033,-0.074,0.075,,0.899,0.562,0.548,0.076,0.052,0.042,0.052,-0.072,0.078,,0.885,0.381,2.212,0.499,0.476,0.478,0.343,-0.038,0.104,,0.901,0.522,0.553,0.059,0.022,0.023,0.062,-0.052,0.085,,0.874,0.579,3.489,0.004,0.0,0.002,0.089,-0.0,0.134,,0.899,0.561,0.525,0.072,0.034,0.033,0.055,-0.072,0.078,,0.706,0.394,0.316,0.047,-0.011,0.005,0.021,-0.186,0.077
,2,0.91,0.617,0.756,0.119,0.06,0.06,0.077,-0.039,0.07,,0.909,0.616,0.459,0.062,0.06,0.06,0.047,-0.039,0.07,,0.852,0.514,-0.063,-0.008,-0.123,-0.077,0.051,-0.036,0.099,,0.875,0.45,0.67,0.075,0.053,0.04,0.062,-0.004,0.092,,0.9,0.516,0.76,0.087,0.087,0.061,0.066,-0.016,0.088,,0.871,0.002,3.532,0.002,0.007,0.004,0.104,-0.0,0.138,,0.858,0.51,0.07,0.007,-0.063,-0.039,0.061,-0.043,0.111,,0.799,0.524,0.106,0.032,-0.045,-0.039,-0.022,-0.034,0.066
