Dataset,Model,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,RW,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,DIR,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,AD,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,PR,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,EO,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,CEO,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,ROC,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
german,1,0.72,0.837,-0.012,-0.012,0.0,-0.018,0.063,-0.005,0.056,,0.716,0.834,-0.01,-0.01,0.0,-0.018,-0.007,-0.005,0.056,,0.723,0.838,0.009,0.009,0.0,0.018,0.084,-0.011,0.056,,0.717,0.835,0.0,0.0,0.0,0.0,0.075,0.0,0.057,,0.617,0.845,-0.28,-0.195,-0.179,-0.157,0.186,-0.327,0.145,,0.277,0.837,0.961,0.007,0.0,0.009,-0.067,-0.012,1.27,,0.277,0.837,-0.012,-0.009,0.0,-0.018,-0.084,-0.011,1.27,,0.717,0.835,0.0,0.0,0.0,0.0,0.075,0.0,0.057
,2,0.747,0.83,-0.06,-0.046,0.035,-0.053,-0.033,-0.306,0.143,,0.745,0.829,-0.026,-0.02,0.035,-0.053,-0.06,-0.306,0.143,,0.733,0.819,-0.089,-0.067,-0.029,-0.05,0.029,-0.314,0.162,,0.713,0.833,0.0,0.0,0.0,0.0,0.082,0.0,0.057,,0.593,0.82,-0.381,-0.256,-0.177,-0.259,0.188,-0.354,0.17,,0.287,0.009,0.895,0.007,-0.006,0.013,-0.066,-0.007,1.242,,0.267,0.231,0.264,0.067,0.029,0.05,-0.029,-0.314,0.983,,0.29,0.009,-0.06,0.011,0.018,0.009,-0.093,-0.004,1.238
,3,0.767,0.846,-0.112,-0.087,-0.017,-0.085,0.002,-0.187,0.127,,0.765,0.845,-0.078,-0.061,-0.017,-0.085,-0.024,-0.187,0.127,,0.767,0.846,-0.112,-0.087,-0.017,-0.085,0.002,-0.187,0.127,,0.753,0.851,-0.117,-0.108,-0.04,-0.132,0.028,-0.067,0.066,,0.653,0.847,-0.05,-0.041,0.022,-0.04,0.061,-0.151,0.115,,0.287,0.018,0.723,0.005,0.009,0.004,-0.09,-0.005,1.249,,0.233,0.173,0.398,0.087,0.017,0.085,-0.002,-0.187,1.081,,0.287,0.018,0.723,0.005,0.009,0.004,-0.09,-0.009,1.249
,4,0.727,0.808,-0.144,-0.104,-0.066,-0.053,0.081,-0.365,0.156,,0.725,0.806,-0.121,-0.087,-0.066,-0.053,0.063,-0.365,0.156,,0.72,0.801,-0.096,-0.068,-0.047,-0.013,0.089,-0.367,0.167,,0.677,0.807,0.0,0.0,0.0,0.0,0.152,0.0,0.059,,0.59,0.812,-0.226,-0.166,-0.098,-0.131,0.191,-0.286,0.14,,0.33,0.02,1.046,0.008,0.016,0.008,-0.16,-0.011,1.109,,0.287,0.177,0.19,0.038,0.058,-0.014,-0.15,-0.28,0.973,,0.677,0.807,0.0,0.0,0.0,0.0,0.152,0.0,0.059
,5,0.74,0.824,-0.073,-0.054,-0.026,0.006,0.088,-0.321,0.161,,0.741,0.826,-0.07,-0.053,-0.033,-0.008,0.073,-0.309,0.157,,0.747,0.826,-0.026,-0.019,-0.02,0.067,0.113,-0.336,0.163,,0.283,0.824,-0.073,0.0,0.0,0.0,-0.155,0.0,1.261,,0.637,0.838,-0.028,-0.023,0.025,0.024,0.121,-0.292,0.13,,0.683,0.772,-0.349,-0.221,-0.332,-0.102,0.295,-0.381,0.242,,0.253,0.233,0.074,0.019,0.02,-0.067,-0.113,-0.336,0.984,,0.283,0.824,-0.073,0.0,0.0,0.0,-0.155,0.0,1.261
,6,0.767,0.851,-0.119,-0.1,-0.024,-0.097,0.025,-0.169,0.093,,0.766,0.851,-0.095,-0.08,-0.024,-0.097,-0.008,-0.169,0.093,,0.753,0.841,-0.042,-0.035,0.002,-0.013,0.05,-0.18,0.107,,0.783,0.853,0.078,0.06,0.101,0.108,0.005,-0.203,0.127,,0.607,0.827,-0.074,-0.055,-0.038,-0.01,0.115,-0.236,0.153,,0.29,0.009,0.693,0.005,0.016,-0.002,-0.12,-0.013,1.231,,0.247,0.131,0.216,0.035,-0.002,0.013,-0.05,-0.18,1.116,,0.29,0.851,-0.119,0.0,0.0,0.0,-0.105,0.0,1.238
,7,0.747,0.824,-0.083,-0.062,-0.033,-0.007,0.08,-0.283,0.14,,0.747,0.824,-0.059,-0.044,-0.033,-0.007,0.06,-0.283,0.14,,0.743,0.82,-0.075,-0.055,-0.014,-0.003,0.059,-0.342,0.15,,0.683,0.812,0.0,0.0,0.0,0.0,0.137,0.0,0.058,,0.633,0.858,-0.126,-0.097,-0.033,-0.043,0.147,-0.312,0.095,,0.323,0.019,0.895,0.007,0.013,0.007,-0.144,-0.011,1.129,,0.257,0.212,0.202,0.055,0.014,0.003,-0.059,-0.342,0.935,,0.317,0.824,-0.083,0.0,0.0,0.0,-0.137,0.0,1.15
,8,0.727,0.839,-0.008,-0.007,-0.011,-0.002,0.071,-0.048,0.088,,0.732,0.842,-0.006,-0.006,-0.011,-0.002,0.004,-0.048,0.088,,0.743,0.847,0.036,0.033,0.049,0.032,0.025,-0.023,0.086,,0.743,0.853,0.0,0.0,0.0,0.0,0.068,0.0,0.055,,0.653,0.862,-0.153,-0.116,-0.033,-0.134,0.084,-0.332,0.132,,0.25,0.839,0.547,0.004,0.0,0.004,-0.065,-0.01,1.369,,0.303,0.234,-0.398,-0.062,-0.06,-0.076,-0.023,-0.108,1.056,,0.43,0.471,-0.117,-0.038,-0.005,-0.063,-0.053,-0.147,0.716
adult,1,0.846,0.657,-0.636,-0.101,-0.08,-0.061,-0.055,-0.044,0.126,,0.794,0.405,-0.011,-0.001,0.028,0.008,-0.014,-0.048,0.208,,0.714,0.598,-0.352,-0.144,-0.025,-0.065,-0.062,-0.021,0.09,,0.697,0.602,-0.392,-0.174,-0.031,-0.085,-0.078,-0.024,0.075,,0.73,0.342,1.651,0.434,0.041,0.289,0.376,-0.09,0.228,,0.753,0.001,1.832,0.0,0.003,0.001,-0.101,-0.0,0.283,,0.714,0.597,-0.386,-0.155,-0.061,-0.087,-0.062,-0.023,0.09,,0.7,0.591,-0.089,-0.042,0.037,0.021,0.022,-0.033,0.087
,2,0.845,0.654,-0.672,-0.11,-0.043,-0.046,-0.071,-0.238,0.119,,0.845,0.654,-0.344,-0.064,-0.044,-0.046,-0.038,-0.24,0.118,,0.837,0.639,-0.735,-0.121,-0.062,-0.062,-0.077,-0.243,0.123,,0.779,0.147,-0.412,-0.007,0.01,0.005,-0.109,-0.006,0.248,,0.799,0.383,-0.858,-0.056,-0.044,-0.035,-0.098,-0.019,0.204,,0.762,0.001,1.775,0.0,0.003,0.002,-0.118,-0.0,0.271,,0.83,0.611,-0.623,-0.099,0.003,-0.024,-0.086,-0.236,0.134,,0.786,0.647,-0.141,-0.049,0.125,0.064,-0.01,-0.389,0.089
